"S no.","Dish Name","Category","Description","Price (INR)"
"1","Paneer Butter Masala","Main Course","Cottage cheese cooked in a rich, creamy tomato-based gravy with a blend of spices","250"
"2","Shahi Paneer","Main Course","Paneer cooked in a royal, creamy gravy with a touch of saffron and nuts","280"
"3","Palak Paneer","Main Course","Paneer cooked in a smooth spinach gravy, seasoned with mild spices","240"
"4","Baingan Bharta","Main Course","Roasted and mashed eggplant cooked with onions, tomatoes, and spices","220"
"5","Dal Makhani","Main Course","Black lentils slow-cooked with cream and butter for a rich, flavorful dish","180"
"6","Chole Bhature","Main Course","Chickpeas cooked in a spicy gravy, served with deep-fried bread (bhature)","150"
"7","Rajma","Main Course","Kidney beans cooked in a spiced tomato-based gravy, served with rice or roti","180"
"8","Paneer Tikka","Appetizer","Paneer cubes marinated in yogurt and spices, grilled in a tandoor and served with chutney","180"
"9","Vegetable Biryani","Rice","Fragrant basmati rice cooked with mixed vegetables and aromatic spices","220"
"10","Vegetable Pulao","Rice","Rice cooked with mixed vegetables and mild spices","120"
"11","Chana Masala","Main Course","Chickpeas cooked in a flavorful tomato-based gravy with Indian spices","190"
"12","Malai Kofta","Main Course","Fried paneer and potato balls served in a rich, creamy tomato-based gravy","290"
"13","Alu Gobi","Main Course","Potatoes and cauliflower cooked with a blend of spices for a dry curry","210"
"14","Mixed Vegetable Curry","Main Course","Mixed seasonal vegetables cooked in a spiced, tangy gravy","220"
"15","Palak Chaat","Appetizer","Crispy spinach leaves served with sweet and spicy chutneys","110"
"16","Paneer Do Pyaza","Main Course","Paneer cubes cooked with a generous amount of onions in a spicy gravy","270"
"17","Vegetable Korma","Main Course","Mixed vegetables cooked in a creamy coconut-based gravy with mild spices","250"
"18","Gobhi Manchurian","Appetizer","Deep-fried cauliflower florets tossed in a spicy, tangy sauce","180"
"19","Veg Hakka Noodles","Main Course","Stir-fried noodles with vegetables and Chinese sauces","200"
"20","Veg Kofta Curry","Main Course","Deep-fried vegetable balls served in a spiced tomato gravy","270"
"21","Bhindi Masala","Main Course","Okra (bhindi) cooked with onions, tomatoes, and a blend of spices","210"
"22","Aloo Matar","Main Course","Potatoes and peas cooked in a flavorful gravy with spices","200"
"23","Paneer Shashlik","Appetizer","Paneer cubes and vegetables marinated in spices and grilled on skewers","210"
"24","Vegetable Pakora","Appetizer","Mixed vegetables dipped in gram flour and deep-fried","100"
"25","Sweet Corn Soup","Soup","A light, savory soup made with sweet corn, vegetables, and mild seasonings","150"
"26","Tomato Soup","Soup","A comforting soup made with tomatoes and a blend of herbs and spices","120"
"27","Palak Soup","Soup","Spinach-based soup seasoned with spices and herbs","130"
"28","Vegetable Samosa","Appetizer","Crispy pastry filled with spiced potatoes, peas, and herbs","80"
"29","Paneer Malai Tikka","Appetizer","Paneer marinated in cream, yogurt, and aromatic spices, grilled to perfection","210"
"30","Jeera Aloo","Main Course","Potatoes flavored with cumin, turmeric, and coriander, dry-style","190"
"31","Vegetable Jalfrezi","Main Course","Stir-fried vegetables in a spicy and tangy gravy with bell peppers","240"
"32","Veg Dum Biryani","Rice","Basmati rice cooked with mixed vegetables and saffron, sealed and steamed","250"
"33","Kadhai Paneer","Main Course","Paneer cooked in a wok (kadhai) with bell peppers, onions, and tomatoes","280"
"34","Stuffed Paratha","Breads","Paratha stuffed with a variety of fillings like potatoes, paneer, or spinach","100"
"35","Jeera Rice","Rice","Basmati rice flavored with cumin and ghee, a simple side dish","90"
"36","Chili Paneer","Appetizer","Paneer cubes stir-fried with bell peppers, onions, and a tangy sauce","240"
"37","Vegetable Kathi Roll","Appetizer","Spiced vegetables wrapped in a flatbread with chutneys","150"
"38","Gajar Halwa","Dessert","Sweetened grated carrots cooked in milk, flavored with cardamom and nuts","150"
"39","Rava Kesari","Dessert","A South Indian semolina dessert flavored with cardamom, ghee, and saffron","130"
"40","Ras Malai","Dessert","Cottage cheese dumplings soaked in sweetened milk flavored with cardamom and saffron","190"
"41","Phirni","Dessert","A creamy rice pudding flavored with cardamom, served in small clay pots","140"
"42","Gulab Jamun","Dessert","Soft, deep-fried dough balls soaked in sugar syrup","120"
"43","Jalebi","Dessert","Fried batter soaked in sugary syrup, often served warm","100"
"44","Falooda","Dessert","A chilled dessert made with rose syrup, noodles, milk, and basil seeds","160"
"45","Kulfi","Dessert","Indian-style ice cream made with milk and flavored with pistachio, mango, or saffron","180"
